nHd.2.3.1.t12330-RA	KEGG	K04287	29	354	99.8	Neuroactive ligand-receptor interaction
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	Butanoate metabolism
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	Caprolactam degradation
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	beta-Alanine metabolism
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	Tryptophan metabolism
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	Fatty acid elongation in mitochondria
nHd.2.3.1.t12826-RA	KEGG	K07511	7	304	 365	Valine, leucine and isoleucine degradation
nHd.2.3.1.t12827-RA	KEGG	K07432	57	140	82.4	N-Glycan biosynthesis
nHd.2.3.1.t12827-RA	KEGG	K07432	57	140	82.4	Various types of N-glycan biosynthesis
nHd.2.3.1.t12828-RA	KEGG	K07748	115	444	 405	Steroid biosynthesis
nHd.2.3.1.t12829-RA	KEGG	K04424	100	336	75.5	MAPK signaling pathway
nHd.2.3.1.t12829-RA	KEGG	K04424	100	336	75.5	Tight junction
nHd.2.3.1.t12830-RA	KEGG	K04424	23	168	69.7	MAPK signaling pathway
nHd.2.3.1.t12830-RA	KEGG	K04424	23	168	69.7	Tight junction
nHd.2.3.1.t12839-RA	KEGG	K02365	367	752	 167	Cell cycle
nHd.2.3.1.t12839-RA	KEGG	K02365	367	752	 167	Oocyte meiosis
nHd.2.3.1.t12839-RA	KEGG	K02365	367	752	 167	Cell cycle - yeast
nHd.2.3.1.t12839-RA	KEGG	K02365	367	752	 167	Meiosis - yeast
nHd.2.3.1.t12851-RA	KEGG	K01641	89	491	 491	Butanoate metabolism
nHd.2.3.1.t12851-RA	KEGG	K01641	89	491	 491	Terpenoid backbone biosynthesis
nHd.2.3.1.t12851-RA	KEGG	K01641	89	491	 491	Synthesis and degradation of ketone bodies
nHd.2.3.1.t12851-RA	KEGG	K01641	89	491	 491	Valine, leucine and isoleucine degradation
nHd.2.3.1.t12854-RA	KEGG	K06082	2	130	65.5	Adherens junction
nHd.2.3.1.t12855-RA	KEGG	K14319	187	443	 159	RNA transport
nHd.2.3.1.t12856-RA	KEGG	K07418	17	522	 251	Linoleic acid metabolism
nHd.2.3.1.t12856-RA	KEGG	K07418	17	522	 251	Arachidonic acid metabolism
nHd.2.3.1.t12865-RA	KEGG	K00591	1	250	 197	Ubiquinone and other terpenoid-quinone biosynthesis
nHd.2.3.1.t12874-RA	KEGG	K01330	617	813	65.5	Systemic lupus erythematosus
nHd.2.3.1.t12874-RA	KEGG	K01330	617	813	65.5	Staphylococcus aureus infection
nHd.2.3.1.t12874-RA	KEGG	K01330	617	813	65.5	Complement and coagulation cascades
nHd.2.3.1.t12874-RA	KEGG	K01330	617	813	65.5	Phagosome
nHd.2.3.1.t12875-RA	KEGG	K01346	328	582	86.3	Protein digestion and absorption
nHd.2.3.1.t12875-RA	KEGG	K01346	328	582	86.3	Pancreatic secretion
nHd.2.3.1.t12876-RA	KEGG	K04136	125	444	89.0	Calcium signaling pathway
nHd.2.3.1.t12876-RA	KEGG	K04136	125	444	89.0	Neuroactive ligand-receptor interaction
nHd.2.3.1.t12876-RA	KEGG	K04136	125	444	89.0	Vascular smooth muscle contraction
nHd.2.3.1.t12876-RA	KEGG	K04136	125	444	89.0	Salivary secretion
nHd.2.3.1.t12880-RA	KEGG	K04043	8	245	66.6	RNA degradation
nHd.2.3.1.t12884-RA	KEGG	K00071	5	176	 104	Steroid hormone biosynthesis
nHd.2.3.1.t12884-RA	KEGG	K00071	5	176	 104	Aldosterone-regulated sodium reabsorption
nHd.2.3.1.t12885-RA	KEGG	K00019	102	191	62.0	Butanoate metabolism
nHd.2.3.1.t12885-RA	KEGG	K00019	102	191	62.0	Synthesis and degradation of ketone bodies
nHd.2.3.1.t12889-RA	KEGG	K00621	38	177	 126	Amino sugar and nucleotide sugar metabolism
